Name;PriorityCh1;PriorityCh2;TXDesignatedCh;SignHoldTime;PrioSamplTime;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16;ChannelMember17;ChannelMember18;ChannelMember19;ChannelMember20;ChannelMember21;ChannelMember22;ChannelMember23;ChannelMember24;ChannelMember25;ChannelMember26;ChannelMember27;ChannelMember28;ChannelMember29;ChannelMember30;ChannelMember31
S1S2zuid;BRD1 204;BRD2 Lokaal;none;20;8;AMS1 204;AMS2 Lokaal;ANH1 204;ANH2 Lokaal;APD1 204;APD2 Lokaal;BRD1 204;BRD2 Lokaal;DFT1 204;DFT2 Lokaal;GRL1 204;GRL2 Lokaal;HRL1 204;HRL2 Lokaal;NIJ1 204;NIJ2 Lokaal;NLB1 204;NLB2 Lokaal;NYM1 204;NYM2 Lokaal;SPA1 204;SPA2 Lokaal;TWE1 204;TWE2 Lokaal;UTR1 204;UTR2 Lokaal;ZLB1 204;ZLB2 Lokaal;ZLD1 204;ZLD2 Lokaal;
S1S2midden;SPA1 204;SPA2 Lokaal;none;20;8;ADF1 204;ADF2 Lokaal;AMS1 204;AMS2 Lokaal;ANH1 204;ANH2 Lokaal;APD1 204;APD2 Lokaal;DFT1 204;DFT2 Lokaal;GRL1 204;GRL2 Lokaal;KPH1 204;KPH2 Lokaal;NIJ1 204;NIJ2 Lokaal;NLB1 204;NLB2 Lokaal;NYM1 204;NYM2 Lokaal;SPA1 204;SPA2 Lokaal;TWE1 204;TWE2 Lokaal;UTR1 204;UTR2 Lokaal;WFR1 204;WFR2 Lokaal;ZHM1 204;ZHM2 Lokaal;
S1S2noord;DRA1 204;DRA2 Lokaal;none;20;8;ADF1 204;ADF2 Lokaal;AMS1 204;AMS2 Lokaal;ANH1 204;ANH2 Lokaal;APD1 204;APD2 Lokaal;DFT1 204;DFT2 Lokaal;DRA1 204;DRA2 Lokaal;FRL1 204;FRL2 Lokaal;GRL1 204;GRL2 Lokaal;NIJ1 204;NIJ2 Lokaal;NLB1 204;NLB2 Lokaal;NYM1 204;NYM2 Lokaal;SPA1 204;SPA2 Lokaal;TWE1 204;TWE2 Lokaal;UTR1 204;UTR2 Lokaal;WFR1 204;WFR2 Lokaal;
S1S2Curacao;PJ2R1 204;PJ2R2 Lokaal;none;20;8;PJ2R1 204;PJ2R2 Lokaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederland;BRD1 204;UTR1 204;none;20;8;ADF1 204;AMS1 204;ANH1 204;APD1 204;BRD1 204;DFT1 204;DRA1 204;FRL1 204;GRL1 204;HRL1 204;KPH1 204;NIJ1 204;NLB1 204;NYM1 204;SPA1 204;TWE1 204;UTR1 204;WFR1 204;ZHM1 204;ZLB1 204;ZLD1 204;;;;;;;;;;
Worldwide;BRD1 Worldwide;UTR1 Worldwide;none;20;8;ADF1 Worldwide;AMS1 Worldwide;ANH1 Worldwide;APD1 Worldwide;BRD1 Worldwide;DFT1 Worldwide;DRA1 Worldwide;FRL1 Worldwide;GRL1 Worldwide;HRL1 Worldwide;KPH1 Worldwide;NIJ1 Worldwide;NLB1 Worldwide;NYM1 Worldwide;SPA1 Worldwide;TWE1 Worldwide;UTR1 Worldwide;WFR1 Worldwide;ZHM1 Worldwide;ZLB1 Worldwide;ZLD1 Worldwide;;;;;;;;;;
Europa;BRD1 Europa;UTR1 Europa;none;20;8;ADF1 Europa;AMS1 Europa;ANH1 Europa;APD1 Europa;BRD1 Europa;DFT1 Europa;DRA1 Europa;FRL1 Europa;GRL1 Europa;HRL1 Europa;KPH1 Europa;NIJ1 Europa;NLB1 Europa;NYM1 Europa;SPA1 Europa;TWE1 Europa;UTR1 Europa;WFR1 Europa;ZHM1 Europa;ZLB1 Europa;ZLD1 Europa;;;;;;;;;;
Ned talig;BRD1 Ned talig;UTR1 Ned talig;none;20;8;ADF1 Ned talig;AMS1 Ned talig;ANH1 Ned talig;APD1 Ned talig;BRD1 Ned talig;DFT1 Ned talig;DRA1 Ned talig;FRL1 Ned talig;GRL1 Ned talig;HRL1 Ned talig;KPH1 Ned talig;NIJ1 Ned talig;NLB1 Ned talig;NYM1 Ned talig;SPA1 Ned talig;TWE1 Ned talig;UTR1 Ned talig;WFR1 Ned talig;ZHM1 Ned talig;ZLB1 Ned talig;ZLD1 Ned talig;;;;;;;;;;
1XRF088A;BRD1XRF088A;UTR1XRF088A;none;20;8;ADF1XRF088A;AMS1XRF088A;ANH1XRF088A;APD1XRF088A;BRD1XRF088A;DFT1XRF088A;DRA1XRF088A;FRL1XRF088A;GRL1XRF088A;HRL1XRF088A;KPH1XRF088A;NIJ1XRF088A;NLB1XRF088A;NYM1XRF088A;SPA1XRF088A;TWE1XRF088A;UTR1XRF088A;WFR1XRF088A;ZHM1XRF088A;ZLB1XRF088A;ZLD1XRF088A;;;;;;;;;;
1XRF088B;BRD1XRF088B;UTR1XRF088B;none;20;8;ADF1XRF088B;AMS1XRF088B;ANH1XRF088B;APD1XRF088B;BRD1XRF088B;DFT1XRF088B;DRA1XRF088B;FRL1XRF088B;GRL1XRF088B;HRL1XRF088B;KPH1XRF088B;NIJ1XRF088B;NLB1XRF088B;NYM1XRF088B;SPA1XRF088B;TWE1XRF088B;UTR1XRF088B;WFR1XRF088B;ZHM1XRF088B;ZLB1XRF088B;ZLD1XRF088B;;;;;;;;;;
JOTA;BRD1 JOTA;UTR1 JOTA;none;20;8;ADF1 JOTA;AMS1 JOTA;ANH1 JOTA;APD1 JOTA;BRD1 JOTA;DFT1 JOTA;DRA1 JOTA;FRL1 JOTA;GRL1 JOTA;HRL1 JOTA;KPH1 JOTA;NIJ1 JOTA;NLB1 JOTA;NYM1 JOTA;SPA1 JOTA;TWE1 JOTA;UTR1 JOTA;WFR1 JOTA;ZHM1 JOTA;ZLB1 JOTA;ZLD1 JOTA;;;;;;;;;;
Lokaal;BRD2 Lokaal;UTR2 Lokaal;none;20;8;ADF2 Lokaal;AMS2 Lokaal;ANH2 Lokaal;APD2 Lokaal;BRD2 Lokaal;DFT2 Lokaal;DRA2 Lokaal;FRL2 Lokaal;GRL2 Lokaal;HRL2 Lokaal;KPH2 Lokaal;NIJ2 Lokaal;NLB2 Lokaal;NYM2 Lokaal;SPA2 Lokaal;TWE2 Lokaal;UTR2 Lokaal;WFR2 Lokaal;ZHM2 Lokaal;ZLB2 Lokaal;ZLD2 Lokaal;;;;;;;;;;
Noord;BRD2 Noord;UTR2 Noord;none;20;8;ADF2 Noord;AMS2 Noord;ANH2 Noord;APD2 Noord;BRD2 Noord;DFT2 Noord;DRA2 Noord;FRL2 Noord;GRL2 Noord;HRL2 Noord;KPH2 Noord;NIJ2 Noord;NLB2 Noord;NYM2 Noord;SPA2 Noord;TWE2 Noord;UTR2 Noord;WFR2 Noord;ZHM2 Noord;ZLB2 Noord;ZLD2 Noord;;;;;;;;;;
Midden;BRD2 Midden;UTR2 Midden;none;20;8;ADF2 Midden;AMS2 Midden;ANH2 Midden;APD2 Midden;BRD2 Midden;DFT2 Midden;DRA2 Midden;FRL2 Midden;GRL2 Midden;HRL2 Midden;KPH2 Midden;NIJ2 Midden;NLB2 Midden;NYM2 Midden;SPA2 Midden;TWE2 Midden;UTR2 Midden;WFR2 Midden;ZHM2 Midden;ZLB2 Midden;ZLD2 Midden;;;;;;;;;;
Zuid;BRD2 Zuid;UTR2 Zuid;none;20;8;ADF2 Zuid;AMS2 Zuid;ANH2 Zuid;APD2 Zuid;BRD2 Zuid;DFT2 Zuid;DRA2 Zuid;FRL2 Zuid;GRL2 Zuid;HRL2 Zuid;KPH2 Zuid;NIJ2 Zuid;NLB2 Zuid;NYM2 Zuid;SPA2 Zuid;TWE2 Zuid;UTR2 Zuid;WFR2 Zuid;ZHM2 Zuid;ZLB2 Zuid;ZLD2 Zuid;;;;;;;;;;
Oost;BRD2 Oost;UTR2 Oost;none;20;8;ADF2 Oost;AMS2 Oost;ANH2 Oost;APD2 Oost;BRD2 Oost;DFT2 Oost;DRA2 Oost;FRL2 Oost;GRL2 Oost;HRL2 Oost;KPH2 Oost;NIJ2 Oost;NLB2 Oost;NYM2 Oost;SPA2 Oost;TWE2 Oost;UTR2 Oost;WFR2 Oost;ZHM2 Oost;ZLB2 Oost;ZLD2 Oost;;;;;;;;;;
IJsselmond;BRD2 IJsselmond;UTR2 IJsselmond;none;20;8;ADF2 IJsselmond;AMS2 IJsselmond;ANH2 IJsslemond;APD2 IJsselmond;BRD2 IJsselmond;DFT2 IJsselmond;DRA2 IJsselmond;FRL2 IJsselmond;GRL2 IJsselmond;HRL2 IJsselmond;KPH2 IJsselmond;NIJ2 IJsselmond;NLB2 IJsselmond;NYM2 IJsselmond;SPA2 IJsselmond;TWE2 IJsselmond;UTR2 IJsselmond;WFR2 IJsselmond;ZHM2 IJsselmond;ZLB2 IJsselmond;ZLD2 IJsselmond;;;;;;;;;;
C4FM Oost;BRD2 C4FM Oost;UTR2 C4FM Oost;none;20;8;ADF2 C4FM Oost;AMS2 C4FM Oost;ANH2 C4FM Oost;APD2 C4FM Oost;BRD2 C4FM Oost;DFT2 C4FM Oost;DRA2 C4FM Oost;FRL2 C4FM Oost;GRL2 C4FM Oost;HRL2 C4FM Oost;KPH2 C4FM Oost;NIJ2 C4FM Oost;NLB2 C4FM Oost;NYM2 C4FM Oost;SPA2 C4FM Oost;TWE2 C4FM Oost;UTR2 C4FM Oost;WFR2 C4FM Oost;ZHM2 C4FM Oost;ZLB2 C4FM Oost;ZLD2 C4FM Oost;;;;;;;;;;
C4FM Hobbys;BRD2 C4FM Hobbys;UTR2 C4FM Hobbys;none;20;8;ADF2 C4FM Hobbys;AMS2 C4FM Hobbys;ANH2 C4FM Hobbys;APD2 C4FM Hobbys;BRD2 C4FM Hobbys;DFT2 C4FM Hobbys;DRA2 C4FM Hobbys;FRL2 C4FM Hobbys;GRL2 C4FM Hobbys;HRL2 C4FM Hobbys;KPH2 C4FM Hobbys;NIJ2 C4FM Hobbys;NLB2 C4FM Hobbys;NYM2 C4FM Hobbys;SPA2 C4FM Hobbys;TWE2 C4FM Hobbys;UTR2 C4FM Hobbys;WFR2 C4FM Hobbys;ZHM2 C4FM Hobbys;ZLB2 C4FM Hobbys;ZLD2 C4FM Hobbys;;;;;;;;;;
Techtalk;BRD2 Techtalk;UTR2 Techtalk;none;20;8;ADF2 Techtalk;AMS2 Techtalk;ANH2 Techtalk;APD2 Techtalk;BRD2 Techtalk;DFT2 Techtalk;DRA2 Techtalk;FRL2 Techtalk;GRL2 Techtalk;HRL2 Techtalk;KPH2 Techtalk;NIJ2 Techtalk;NLB2 Techtalk;NYM2 Techtalk;SPA2 Techtalk;TWE2 Techtalk;UTR2 Techtalk;WFR2 Techtalk;ZHM2 Techtalk;ZLB2 Techtalk;ZLD2 Techtalk;;;;;;;;;;
YSF444;BRD2 YSF444;UTR2 YSF444;none;20;8;ADF2 YSF444;AMS2 YSF444;ANH2 YSF444;APD2 YSF444;BRD2 YSF444;DFT2  YSF444;DRA2 YSF444;FRL2 YSF444;GRL2 YSF444;HRL2 YSF444;KPH2 YSF444;NIJ2 YSF444;NLB2 YSF444;NYM2 YSF444;SPA2 YSF444;TWE2 YSF444;UTR2 YSF444;WFR2 YSF444;ZHM2 YSF444;ZLB2 YSF444;ZLD2 YSF444;;;;;;;;;;
BE Vlaams;BRD2 BE Vlaams;UTR2 BE Vlaams;none;20;8;ADF2 BE Vlaams;AMS2 BE Vlaams;ANH2 BE Vlaams;APD2 BE Vlaams;BRD2 BE Vlaams;DFT2 BE Vlaams;DRA2 BE Vlaams;FRL2 BE Vlaams;GRL2 BE Vlaams;HRL2 BE Vlaams;KPH2 BE Vlaams;NIJ2 BE Vlaams;NLB2 BE Vlaams;NYM2 BE Vlaams;SPA2 BE Vlaams;TWE2 BE Vlaams;UTR2 BE Vlaams;WFR2 BE Vlaams;ZHM2 BE Vlaams;ZLB2 BE Vlaams;ZLD2 BE Vlaams;;;;;;;;;;
Belgie;BRD2 Belgie;UTR2 Belgie;none;20;8;ADF2 Belgie;AMS2 Belgie;ANH2 Belgie;APD2 Belgie;BRD2 Belgie;DFT2 Belgie;DRA2 Belgie;FRL2 Belgie;GRL2 Belgie;HRL2 Belgie;KPH2 Belgie;NIJ2 Belgie;NLB2 Belgie;NYM2 Belgie;SPA2 Belgie;TWE2 Belgie;UTR2 Belgie;WFR2 Belgie;ZHM2 Belgie;ZLB2 Belgie;ZLD2 Belgie;;;;;;;;;;
S1S2pl;SR2OX Polska;SR2OX 26021;none;20;8;SR2OX Polska;SR2OX 26021;SR2GDD Polska;SR2GDD 26021;;;;;;;;;;;;;;;;;;;;;;;;;;;
PlPolska;SR2OX Polska;SR2GDD Polska;none;20;8;SR2OX Polska;SR2GDD Polska;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PlWorldwide;SR2OX Worldwide;SR2GDD Worldwide;none;20;8;SR2OX Worldwide;SR2GDD Worldwide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PlEuropa;SR2OX Europa;SR2GDD Europa;none;20;8;SR2OX Europa;SR2GDD Europa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pl2602;SR2OX 2602;SR2GDD 2602;none;20;8;SR2OX 2602;SR2GDD 2602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pl26021;SR2OX 26021;SR2GDD 26021;none;20;8;SR2OX 26021;SR2GDD 26021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pl26022;SR2OX 26022;SR2GDD 26022;none;20;8;SR2OX 26022;SR2GDD 26022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DMR-DIVERSEN;BRD1 204;BRD2 Lokaal;none;20;8;STZ-ALMERE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PI1AMF;BRD1 204;BRD2 Lokaal;none;20;8;AMF MA 1 1;AMF MA 1 2;AMF MA 1 9;AMF MA 1 13;AMF MA 1 20;AMF MA 1 22;AMF MA 1 204;AMF MA 2 8;AMF MA 2 9;AMF MA 2 204;AMF MA 2 20421;;;;;;;;;;;;;;;;;;;;
PI1NOG;BRD1 204;BRD2 Lokaal;none;20;16;NOG MA 1 1;NOG MA 1 2;NOG MA 1 9;NOG MA 1 13;NOG MA 1 20;NOG MA 1 22;NOG MA 1 204;NOG MA 2 8;NOG MA 2 9;NOG MA 2 204;;;;;;;;;;;;;;;;;;;;;
PI1DHG;BRD1 204;BRD2 Lokaal;none;20;8;DHG MA 1 1;DHG MA 1 2;DHG MA 1 9;DHG MA 1 13;DHG MA 1 20;DHG MA 1 22;DHG MA 1 204;DHG MA 2 8;DHG MA 2 9;DHG MA 2 204;;;;;;;;;;;;;;;;;;;;;
PI1ZWL;BRD1 204;BRD2 Lokaal;none;20;8;ZWL MA 1 1;ZWL MA 1 2;ZWL MA 1 9;ZWL MA 1 13;ZWL MA 1 20 ;ZWL MA 1 22;ZWL MA 1 204;ZWL MA 2 8;ZWL MA 2 9;ZWL MA 2 204;;;;;;;;;;;;;;;;;;;;;
UHF-NL-NOORD;BRD1 204;BRD2 Lokaal;none;20;8;NOG-430.3250;GRO-430.2375;WSN-430.1500;HVN-430.0250;ASN-430.0500;MEP-430.0750;NON-COVERSITY;NOS-430.1250;;;;;;;;;;;;;;;;;;;;;;;
UHF-NL-OOST;BRD1 204;BRD2 Lokaal;none;20;8;DEV-430.3625;KMP-430.1750;NOV-430.2625;APD-430.1500;ANH-430.0500;TWE-430.2250;JUT-430.0625;NMG-430.3125;YSS-430.0125;AMF-430.2500;ZST-430.0750;NOS-430.1250;NON-COVERSITY;;;;;;;;;;;;;;;;;;
UHF-NL-ZUID;BRD1 204;BRD2 Lokaal;none;20;8;BRD-430.3250;SHB-430.2375;EHV-430.1000;NEN-430.0625;BOZ-430.0250;NLB-430.2000;GAY-430.0750;RMD-430.3625;VNR-430.3500;VLI-430.3375;ZLD-430.075;NOS-430.1250;;;;;;;;;;;;;;;;;;;
UHF-NL-WEST;BRD1 204;BRD2 Lokaal;none;20;8;ALK-430.3750;ASD-430.2000;ASD-438.5000;ZAZ-430.03750;RDH-430.2625;HLM-430.2500;FLD-430.2875;DFT-430.0875;HGL-430.3500;DEC-430.3625;GOR-430.0125;SWK-430.2250;RTD-430.3000;RAZ-430.1500;NOS-430.1250;;;;;;;;;;;;;;;;
SIMPLEX;BRD1 204;BRD2 Lokaal;none;20;8;SIMP-1D;SIMP-2D-OPR;SIMP-3D;SIMP-4D;SIMP-5D;SIMP-6D;SIMP-7D;SIMP-8D-EXP;SIMP-9A;SIMP-10A-OPR;SIMP-11A;SIMP-12A;SIMP-13A;SIMP-14A;SIMP-15A;;;;;;;;;;;;;;;;
PMR;BRD1 204;BRD2 Lokaal;none;20;8;PMR-1;PMR-2;PMR-3;PMR-4;PMR-5;PMR-6;PMR-7;PMR-8;;;;;;;;;;;;;;;;;;;;;;;
C4FM;BRD1 204;BRD2 Lokaal;none;20;8;PI1VBG-C4FM;PI1NOS-C4FM;PI1AMS-C4FM;PI1DFT-C4FM;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scan LPD;BRD1 204;BRD2 Lokaal;none;20;8;LPD 01;LPD 02;LPD 03;LPD 04;LPD 05;LPD 06;LPD 07;LPD 08;LPD 09;LPD 10;LPD 11;LPD 51;LPD 62;LPD 65;LPD 66;LPD 69;;;;;;;;;;;;;;;
Scan UK Simp;BRD1 204;BRD2 Lokaal;none;20;8;UKSimp1;UKSimp2;UKSimp3Oproep;UKSimp4;UKSimp5;UKSimp6;;;;;;;;;;;;;;;;;;;;;;;;;
Brandw Porto;BRD1 204;BRD2 Lokaal;none;20;8;Brw port 01;Brw port 02;Brw port 03;Brw port 04;Brw port 05;Brw port 06;Brw port 07;Brw port 08;Brw port 09;Brw port 10;Brw port 11;Brw port 12;Brw port 13;Brw port 14;Brw port 15;Brw port 16;;;;;;;;;;;;;;;
Brw DMR;Brw DMR 10;Brw DMR 11;none;20;8;Brw DMR 01;Brw DMR 02;Brw DMR 03;Brw DMR 04;Brw DMR 05;Brw DMR 06;Brw DMR 07;Brw DMR 08;Brw DMR 09;Brw DMR 10;Brw DMR 11;Brw DMR 12;Brw DMR 13;Brw DMR 14;Brw DMR 15;Brw DMR 16;;;;;;;;;;;;;;;
